Flow Duration,Fwd IAT Total,Bwd IAT Total,Fwd IAT Min,Bwd IAT Min,Fwd IAT Max,Bwd IAT Max,Fwd IAT Mean,Bwd IAT Mean,Flow Packets/s,Flow Bytes/s,Flow IAT Min,Flow IAT Max,Flow IAT Mean,Flow IAT Std,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,Label
90287846,90262684.0,90262545.0,30.0,2.0,45062208.0,45024034.0,3471641.6923076925,3223662.321428572,0.6202385202544316,87.22104191077943,2.0,44998872.0,1641597.2,8500020.680795224,25077.0,132865.0,240653.0,152435.25146107117,44998082.0,475971750110373.6,1427915160334167.0,824407176218996.1,3
56903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.14753176458183,0.0,56903.0,56903.0,56903.0,0.0,0.0,0.0,0.0,0.0,1427904571731298.0,1427904571731298.0,1427904571731298.0,0.0,3
1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.7904098994586,147718.48414539828,1293.0,1293.0,1293.0,0.0,0.0,0.0,0.0,0.0,1427722685865726.0,1427722685865726.0,1427722685865726.0,0.0,5
408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901.960784313726,382352.9411764706,408.0,408.0,408.0,0.0,0.0,0.0,0.0,0.0,1430317478058892.0,1430317478058892.0,1430317478058892.0,0.0,5
642735,642735.0,0.0,106244.0,0.0,536491.0,0.0,321367.5,0.0,6.223404669109353,0.0,221.0,536491.0,214245.0,284042.9178627765,0.0,0.0,0.0,0.0,1432574537935655.0,1432574537935655.0,1432574537935655.0,0.0,2
416974,416974.0,0.0,416974.0,0.0,416974.0,0.0,416974.0,0.0,4.796462129533256,105.52216684973163,416974.0,416974.0,416974.0,0.0,0.0,0.0,0.0,0.0,1432574516368426.0,1432574516368426.0,1432574516368426.0,0.0,2
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7692.307692307693,511538.46153846156,260.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,1430491699616767.0,1430491699616767.0,1430491699616767.0,0.0,4
63,63.0,0.0,63.0,0.0,63.0,0.0,63.0,0.0,31746.031746031742,761904.7619047619,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,1427978507201037.0,1427978507201037.0,1427978507201037.0,0.0,4
81010616,81010616.0,0.0,449904.0,0.0,15753706.0,0.0,1528502.1886792453,0.0,0.6665793036310205,33.32896518155102,449904.0,15753706.0,1528502.1886792453,2349323.4223008603,1500291.0,15441774.5,29383258.0,19716235.045300726,7709588.0,477524294231741.6,1432572859231931.0,827096319138037.6,1
410740,410740.0,0.0,410740.0,0.0,410740.0,0.0,410740.0,0.0,4.869260359351415,107.12372790573113,410740.0,410740.0,410740.0,0.0,0.0,0.0,0.0,0.0,1432573243398497.0,1432573243398497.0,1432573243398497.0,0.0,1
308274,308274.0,0.0,308274.0,0.0,308274.0,0.0,308274.0,0.0,6.48773493710141,0.0,308274.0,308274.0,308274.0,0.0,0.0,0.0,0.0,0.0,1433421224769815.0,1433421224769815.0,1433421224769815.0,0.0,6
141278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.156485793966509,2852.531887484251,141278.0,141278.0,141278.0,0.0,0.0,0.0,0.0,0.0,1433421341651090.0,1433421341651090.0,1433421341651090.0,0.0,6
1009378,1009378.0,0.0,498587.0,0.0,510791.0,0.0,504689.0,0.0,2.972127389342744,0.0,498587.0,510791.0,504689.0,8629.531157600626,0.0,0.0,0.0,0.0,1606186481952218.0,1606186481952218.0,1606186481952218.0,0.0,7
91679384,91679384.0,0.0,1120323.0,0.0,44159964.0,0.0,18335876.8,0.0,0.0654454659075807,0.0,1120323.0,44159964.0,18335876.8,23572885.00249832,1120397.0,1120852.0,1121307.0,643.4671708797582,44157393.0,535395662379217.4,1606186898820295.0,927332412907722.6,7
